tweet_ids,number_of_likes,number_of_retweets,number_of_followers,numer_of_friends,source,Date_Time
879862464715927552,20579,3089,8897914,18,Twitter for iPhone,Wed Jun 28 00:42:13 +0000 2017
879674319642796034,292,10,8897914,18,Twitter for iPhone,Tue Jun 27 12:14:36 +0000 2017
879492040517615616,21598,2817,8897912,18,Twitter for iPhone,Tue Jun 27 00:10:17 +0000 2017
879415818425184262,97149,39574,8898572,18,Twitter for iPhone,Mon Jun 26 19:07:24 +0000 2017
879376492567855104,15488,2777,8897914,18,Twitter for iPhone,Mon Jun 26 16:31:08 +0000 2017
879130579576475649,0,6048,8897914,18,Twitter for iPhone,Mon Jun 26 00:13:58 +0000 2017
879050749262655488,20736,4173,8897912,18,Twitter for iPhone,Sun Jun 25 18:56:45 +0000 2017
879008229531029506,17496,2379,8897914,18,Twitter for iPhone,Sun Jun 25 16:07:47 +0000 2017
878776093423087618,17834,3635,8897914,18,Twitter for iPhone,Sun Jun 25 00:45:22 +0000 2017
878604707211726852,27662,6276,8897914,18,Twitter for iPhone,Sat Jun 24 13:24:20 +0000 2017
878404777348136964,0,1131,8897914,18,Twitter for iPhone,Sat Jun 24 00:09:53 +0000 2017
878316110768087041,0,5896,8897914,18,Twitter for iPhone,Fri Jun 23 18:17:33 +0000 2017
878281511006478336,7111,1131,8897912,18,Twitter for iPhone,Fri Jun 23 16:00:04 +0000 2017
878057613040115712,38768,6048,8897914,18,Twitter for iPhone,Fri Jun 23 01:10:23 +0000 2017
877736472329191424,72808,16815,8897914,18,Twitter for iPhone,Thu Jun 22 03:54:17 +0000 2017
877611172832227328,0,71,8897912,18,Twitter for iPhone,Wed Jun 21 19:36:23 +0000 2017
877556246731214848,20899,3392,8897914,18,Twitter for iPhone,Wed Jun 21 15:58:08 +0000 2017
877316821321428993,25254,4632,8897914,18,Twitter for iPhone,Wed Jun 21 00:06:44 +0000 2017
877201837425926144,24958,4949,8897914,18,Twitter for iPhone,Tue Jun 20 16:29:50 +0000 2017
876838120628539392,19062,2965,8897914,18,Twitter for iPhone,Mon Jun 19 16:24:33 +0000 2017
876537666061221889,21877,4186,8897914,18,Twitter for iPhone,Sun Jun 18 20:30:39 +0000 2017
876484053909872640,17311,2105,8897914,18,Twitter for iPhone,Sun Jun 18 16:57:37 +0000 2017
876120275196170240,25807,4150,8897914,18,Twitter for iPhone,Sat Jun 17 16:52:05 +0000 2017
875747767867523072,23146,3806,8897914,18,Twitter for iPhone,Fri Jun 16 16:11:53 +0000 2017
875144289856114688,20246,4378,8897914,18,Twitter for iPhone,Thu Jun 15 00:13:52 +0000 2017
875097192612077568,25324,5427,8897914,18,Twitter for iPhone,Wed Jun 14 21:06:43 +0000 2017
875021211251597312,23541,4201,8897914,18,Twitter for iPhone,Wed Jun 14 16:04:48 +0000 2017
874680097055178752,25670,4137,8897914,18,Twitter for iPhone,Tue Jun 13 17:29:20 +0000 2017
874434818259525634,0,12962,8897914,18,Twitter for iPhone,Tue Jun 13 01:14:41 +0000 2017
874296783580663808,24026,3684,8897914,18,Twitter for iPhone,Mon Jun 12 16:06:11 +0000 2017
874057562936811520,20980,3557,8897914,18,Twitter for iPhone,Mon Jun 12 00:15:36 +0000 2017
874012996292530176,31558,9118,8897914,18,Twitter for iPhone,Sun Jun 11 21:18:31 +0000 2017
873580283840344065,22366,3524,8897914,18,Twitter for iPhone,Sat Jun 10 16:39:04 +0000 2017
873337748698140672,0,1412,8897914,18,Twitter for iPhone,Sat Jun 10 00:35:19 +0000 2017
873213775632977920,6610,1412,8897914,18,Twitter for iPhone,Fri Jun 09 16:22:42 +0000 2017
872967104147763200,25176,4846,8897914,18,Twitter for iPhone,Fri Jun 09 00:02:31 +0000 2017
872820683541237760,13620,3333,8898572,18,Twitter for iPhone,Thu Jun 08 14:20:41 +0000 2017
872620804844003328,19168,3261,8897914,18,Twitter for iPhone,Thu Jun 08 01:06:27 +0000 2017
872486979161796608,37721,8124,8897914,18,Twitter for iPhone,Wed Jun 07 16:14:40 +0000 2017
872122724285648897,31654,7262,8898572,18,Twitter for iPhone,Tue Jun 06 16:07:15 +0000 2017
871879754684805121,34735,9801,8897914,18,Twitter for iPhone,Tue Jun 06 00:01:46 +0000 2017
871762521631449091,18711,3131,8897914,18,Twitter for iPhone,Mon Jun 05 16:15:56 +0000 2017
871515927908634625,18704,3123,8897914,18,Twitter for iPhone,Sun Jun 04 23:56:03 +0000 2017
871166179821445120,0,5131,8897914,18,Twitter for iPhone,Sun Jun 04 00:46:17 +0000 2017
871102520638267392,19377,4959,8897914,18,Twitter for iPhone,Sat Jun 03 20:33:19 +0000 2017
871032628920680449,21081,3431,8897914,18,Twitter for iPhone,Sat Jun 03 15:55:36 +0000 2017
870804317367881728,31212,5571,8897914,18,Twitter for iPhone,Sat Jun 03 00:48:22 +0000 2017
870726314365509632,113,3,8897914,18,Twitter for iPhone,Fri Jun 02 19:38:25 +0000 2017
870656317836468226,11419,2351,8897914,18,Twitter for iPhone,Fri Jun 02 15:00:16 +0000 2017
870374049280663552,77105,23969,8897914,18,Twitter for iPhone,Thu Jun 01 20:18:38 +0000 2017
870308999962521604,20362,3744,8897913,18,Twitter for iPhone,Thu Jun 01 16:00:09 +0000 2017
870063196459192321,33886,7498,8897913,18,Twitter for iPhone,Wed May 31 23:43:25 +0000 2017
869772420881756160,39575,9157,8897914,18,Twitter for iPhone,Wed May 31 04:27:59 +0000 2017
869702957897576449,26218,5682,8897914,18,Twitter for iPhone,Tue May 30 23:51:58 +0000 2017
869596645499047938,14832,2807,8897914,18,Twitter for iPhone,Tue May 30 16:49:31 +0000 2017
869227993411051520,18975,3402,8897914,18,Twitter for iPhone,Mon May 29 16:24:37 +0000 2017
868880397819494401,60749,13036,8897914,18,Twitter for iPhone,Sun May 28 17:23:24 +0000 2017
868639477480148993,0,1872,8897914,18,Twitter for iPhone,Sun May 28 01:26:04 +0000 2017
868622495443632128,24758,4779,8897914,18,Twitter for iPhone,Sun May 28 00:18:35 +0000 2017
868552278524837888,9370,1872,8897914,18,Twitter for iPhone,Sat May 27 19:39:34 +0000 2017
867900495410671616,22554,3795,8897914,18,Twitter for iPhone,Fri May 26 00:29:37 +0000 2017
867774946302451713,31646,6649,8897915,18,Twitter for iPhone,Thu May 25 16:10:44 +0000 2017
867421006826221569,14985,2264,8897915,18,Twitter for iPhone,Wed May 24 16:44:18 +0000 2017
867072653475098625,0,108,8897915,18,Twitter for iPhone,Tue May 23 17:40:04 +0000 2017
867051520902168576,30004,7166,8897915,18,Twitter for iPhone,Tue May 23 16:16:06 +0000 2017
866720684873056260,18653,4355,8897915,18,Twitter for iPhone,Mon May 22 18:21:28 +0000 2017
866686824827068416,17945,3149,8897915,18,Twitter for iPhone,Mon May 22 16:06:55 +0000 2017
866450705531457537,113958,32074,8897915,18,Twitter for iPhone,Mon May 22 00:28:40 +0000 2017
866334964761202691,48799,12962,8897915,18,Twitter for iPhone,Sun May 21 16:48:45 +0000 2017
866094527597207552,0,7622,8897915,18,Twitter for iPhone,Sun May 21 00:53:21 +0000 2017
865718153858494464,23991,5125,8897915,18,Twitter for iPhone,Fri May 19 23:57:46 +0000 2017
865359393868664832,24695,4556,8897915,18,Twitter for iPhone,Fri May 19 00:12:11 +0000 2017
865006731092295680,26191,7044,8897915,18,Twitter for iPhone,Thu May 18 00:50:50 +0000 2017
864873206498414592,30149,7931,8897915,18,Twitter for iPhone,Wed May 17 16:00:15 +0000 2017
864279568663928832,13647,2745,8897915,18,Twitter for iPhone,Tue May 16 00:41:21 +0000 2017
864197398364647424,27998,8051,8897915,18,Twitter for iPhone,Mon May 15 19:14:50 +0000 2017
863907417377173506,19285,3789,8897915,18,Twitter for iPhone,Mon May 15 00:02:33 +0000 2017
863553081350529029,14291,3836,8897915,18,Twitter for iPhone,Sun May 14 00:34:33 +0000 2017
863471782782697472,0,2217,8897915,18,Twitter for iPhone,Sat May 13 19:11:30 +0000 2017
863432100342583297,22262,4791,8897915,18,Twitter for iPhone,Sat May 13 16:33:49 +0000 2017
863427515083354112,2059,87,8897915,18,Twitter for iPhone,Sat May 13 16:15:35 +0000 2017
863079547188785154,8216,1015,8897915,18,Twitter for iPhone,Fri May 12 17:12:53 +0000 2017
863062471531167744,7904,2217,8897915,18,Twitter for iPhone,Fri May 12 16:05:02 +0000 2017
